freq,siec,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 e	0.0000 e	0.0000 e	: 	: 	: 	: 	: 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,EU27_2020	18.679 	15.6959 	16.1671 	18.5337 	17.5641 	15.4978 	15.6129 	17.2194 	16.8116 	19.1125 	18.265 	20.5384 	19.2124 	20.7104 	19.0471 	20.5942 	18.6755 	20.1387 	17.8671 	18.7624 	17.2063 	18.9514 	17.5326 	19.9694 	18.7180 	20.2113 	17.9502 	19.4859 	17.7690 	21.7696 	23.5298 	31.2494 	32.3024 	31.6864 	30.6717 	34.5653 	31.7446 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,FR	: 	14.32 	14.46 	16.055 	15.29 	16.2 	14.46 	15.98 	16.11 	17.95 	17.63 	18.95 	18.83 	20.24 	19.47 	21.16 	19.46 	20.35 	18.05 	18.79 	17.7413 	19.3095 	18.4662 	21.1926 	20.4950 	23.3109 	19.9882 	20.8706 	19.1936 	21.8851 	23.8741 	28.0060 	29.0023 	32.8035 	33.2563 	36.9723 	36.0458 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1884 	4.2049 	4.2009 	3.9774 	3.8702 	3.4696 	3.2618 	3.8474 	4.2051 	5.0114 	5.0423 	4.9114 	4.8641 	4.7949 	4.6798 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,HR	8.1984 	7.6045 	7.5924 	7.7031 	8.8591 	9.1021 	10.6326 	10.5447 	10.4211 	10.3224 	10.6438 	13.1101 	12.9191 	13.0004 	12.8979 	13.1971 	13.1265 	12.7623 	11.9036 	10.281 	9.9689 	10.1578 	10.2119 	9.9877 	10.4238 	11.2757 	10.7964 	10.4856 	10.4009 	11.0433 	11.4568 	12.5021 	12.3056 	12.7014 	12.4250 	12.6583 	12.8042 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,HU	: 	10.6186 	11.2369 	12.9273 	13.3772 	13.2318 	14.8709 	15.3765 	15.5718 	15.8221 	13.4294 	14.3597 	12.0104 	11.6676 	10.1466 	9.7375 	9.8029 	9.7768 	9.5613 	9.9933 	9.7764 	10.1352 	9.9528 	9.6375 	9.6017 	9.2889 	8.8602 	8.5573 	8.5200 	8.4675 	8.0851 	9.6972 	9.3548 	9.2940 	7.6329 	8.7588 	8.5305 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,IE	: 	16.85 	15.09 	18.05 	17.89 	15.29 	13.79 	14.63 	14.14 	17.18 	17.06 	18.68 	18.15 	20.07 	18.92 	20.7 	18.7 	20.11 	18.12 	18.83 	17.56 	18.0378 	17.5565 	21.1449 	18.9702 	21.2219 	18.5834 	19.4861 	17.2221 	21.7432 	23.5275 	42.8795 	40.6960 	45.5032 	35.3126 	37.4055 	33.8452 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,IT	18.18 	17.153 	17.468 	19.99 	21.041 	14.841 	17.148 	21.86 	19.27 	24.32 	21.36 	26.89 	23.17 	26.29 	22.14 	26.41 	21.27 	25.13 	20.32 	23.29 p	19.56 	24.2752 	19.8447 	26.4274 	21.3645 	25.9582 	20.2286 	24.9166 	19.5362 	27.9051 	27.3987 	36.3797 	27.2429 	37.4158 	31.6726 	44.0677 	34.4437 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.678 	23.8162 	25.3644 	25.6919 	23.4843 	22.8616 	20.6548 	20.7179 	18.9248 	22.6977 	20.9020 	23.3605 	21.8681 	21.5683 	19.8061 	20.1530 	31.3378 	51.8084 	55.5516 	57.0260 	44.1765 	42.8430 	36.2717 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,LT	: 	6.5189 	9.147 	10.6258 	11.7987 	11.285 	10.4309 	12.5863 	12.0743 	14.9878 	14.1653 	16.9717 	16.7458 	17.047 	15.5381 	13.867 	11.75 	12.12 	11.47 	10.76 	10.14 	10.9793 	11.0900 	11.2449 	12.5096 	11.2698 	10.0391 	8.2050 	7.7413 	11.3796 	16.3136 	35.7722 	51.3476 	40.3795 	20.5245 	16.5555 	18.5367 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,LU	: 	10.12 	15.48 	14.28 	13.68 	12.82 	12.07 	13.13 	14.19 	16.09 	16.06 	16.49 	17.34 	15.71 	14.78 	14.27 	13.77 	13.4 	12.62 	11.62 	11.6 	11.0624 	11.4113 	11.9068 	12.4363 	11.4918 	11.4407 	10.1720 	12.1704 	17.7595 	23.7674 	24.7483 	24.3111 	23.6100 	24.5170 	20.3463 	25.8163 
